County,Quarterly,January,February,March,Total,Average,March,Total
"New Haven County, Connecticut","24,434","314,006","314,119","315,131","4,537,808,786","1,110",1.02,1
"New London County, Connecticut","7,305","91,200","90,509","91,395","1,492,224,543","1,261",0.89,0.93
"Tolland County, Connecticut","3,134","26,418","26,397","26,452","290,760,850",846,0.76,0.66
"Windham County, Connecticut","2,783","31,185","31,183","31,210","354,286,635",874,0.96,0.94
"Unknown Or Undefined, Connecticut","6,113","40,592","40,972","40,906","1,206,270,359","2,273",1.17,1.16
"New Castle County, Delaware","20,326","253,387","252,503","254,122","4,563,859,796","1,386",1.03,1.03
"Sussex County, Delaware","7,064","68,904","69,041","70,155","705,053,941",782,1.04,1.01
District of Columbia,"40,068","526,978","534,343","537,413","12,810,646,041","1,849",0.82,0.78
"Unknown Or Undef., District of Columbia",13,54,49,49,"1,434,427","2,178",1.18,1.16
"Alachua County, Florida","7,483","97,427","98,148","98,189","1,030,039,269",809,0.86,0.73
"Baker County, Florida",403,"4,855","4,855","4,888","37,627,600",595,0.75,0.68
"Bay County, Florida","5,681","58,857","60,048","60,931","620,363,532",796,0.98,0.93
"Bradford County, Florida",511,"4,291","4,366","4,391","39,053,665",691,0.78,0.75
"Brevard County, Florida","16,321","190,786","191,950","192,474","2,410,490,284",967,1.03,1.01
"Broward County, Florida","71,263","708,219","712,193","712,442","10,109,724,329","1,094",1.02,1.01
"Calhoun County, Florida",218,"1,828","1,872","1,886","13,654,991",564,0.78,0.7
"Charlotte County, Florida","4,813","44,452","44,885","44,889","432,427,660",743,1.03,1
"Citrus County, Florida","3,165","28,064","28,447","28,547","271,402,026",736,1.02,1
"Clay County, Florida","4,568","45,606","45,950","46,113","444,705,467",745,1.01,0.98
"Collier County, Florida","14,837","140,897","142,124","141,759","1,742,013,919",946,1.07,1.05
"Columbia County, Florida","1,553","19,142","19,145","19,162","170,316,122",684,0.92,0.84
"DeSoto County, Florida",652,"7,346","7,379","7,445","65,262,295",679,0.92,0.88
"Dixie County, Florida",218,"1,694","1,710","1,711","14,085,811",635,0.73,0.69
"Duval County, Florida","30,053","465,625","466,315","466,781","6,833,511,458","1,127",1.06,1.05
"Escambia County, Florida","8,227","115,012","116,084","117,198","1,362,508,111",903,1,0.98
"Flagler County, Florida","2,617","19,873","20,220","20,279","166,579,709",637,0.99,0.93
"Franklin County, Florida",335,"2,194","2,200","2,309","16,817,866",579,0.84,0.76
"Gadsden County, Florida",825,"9,624","9,959","10,127","89,587,895",696,0.83,0.79
"Gilchrist County, Florida",317,"2,393","2,445","2,428","19,736,866",627,0.81,0.76
"Glades County, Florida",163,"1,510","1,600","1,545","16,289,886",808,0.86,0.87
"Gulf County, Florida",387,"2,371","2,468","2,528","23,655,065",741,0.85,0.81
"Hamilton County, Florida",203,"1,923","1,952","2,023","25,483,321",997,0.76,0.82
"Hardee County, Florida",540,"5,510","5,325","5,493","43,504,765",615,0.9,0.84
"Hendry County, Florida",859,"10,241","10,300","10,438","92,958,521",692,0.97,0.93
"Hernando County, Florida","3,831","38,835","39,003","39,353","360,775,067",710,1.02,0.99
"Highlands County, Florida","2,329","23,723","23,782","23,754","198,269,929",642,1,0.95
"Hillsborough County, Florida","44,714","626,235","629,423","631,510","9,229,134,972","1,129",1.05,1.03
"Holmes County, Florida",332,"2,025","2,060","2,063","14,148,994",531,0.7,0.61
"Indian River County, Florida","5,204","48,969","49,186","49,482","531,529,882",831,1.06,1.04
"Jackson County, Florida",893,"9,510","9,513","9,621","80,847,806",651,0.77,0.72
"Jefferson County, Florida",288,"1,919","1,922","1,951","16,172,649",644,0.92,0.88
"Lafayette County, Florida",113,836,846,827,"5,617,840",517,0.67,0.56
"Lake County, Florida","8,618","85,368","86,445","86,629","819,580,508",732,1.01,0.99
"Lee County, Florida","23,117","226,374","229,010","229,671","2,526,380,818",851,0.99,0.95
"Leon County, Florida","8,648","104,077","104,522","104,592","1,099,646,590",810,0.8,0.73
"Levy County, Florida",924,"7,062","7,147","7,142","56,769,326",614,0.93,0.89
"Liberty County, Florida",101,"1,098","1,128","1,124","12,141,432",836,0.7,0.72
"Madison County, Florida",349,"3,112","3,124","3,161","24,203,185",594,0.83,0.78
"Manatee County, Florida","11,481","117,264","118,148","118,372","1,266,643,039",826,1.05,1.03
"Marion County, Florida","8,576","89,539","90,056","90,111","844,738,486",723,1.01,0.97
"Martin County, Florida","6,496","63,456","64,041","64,093","675,804,145",814,1.07,1.05
"Miami-Dade County, Florida","101,603","1,015,475","1,022,048","1,023,825","14,711,757,146","1,109",1.03,1
"Monroe County, Florida","4,516","35,938","36,321","36,442","369,660,604",785,1,0.94
"Nassau County, Florida","2,225","19,629","19,902","20,011","197,819,274",767,0.99,0.92
"Okaloosa County, Florida","6,584","66,159","66,835","68,160","728,924,294",836,0.94,0.88
"Okeechobee County, Florida","1,022","9,556","9,514","9,521","83,601,279",675,0.96,0.92
"Orange County, Florida","44,289","776,612","786,331","789,322","10,154,117,218",996,1.07,1.05
"Osceola County, Florida","7,529","84,082","84,749","85,429","774,338,239",703,1.01,0.97
"Palm Beach County, Florida","58,415","551,645","555,501","556,347","8,073,333,346","1,120",1.06,1.04
"Pasco County, Florida","11,519","103,013","103,718","103,933","1,011,072,463",751,1,0.98
"Pinellas County, Florida","34,283","391,175","394,706","394,992","4,899,223,955",957,1.06,1.04
"Polk County, Florida","13,864","196,900","197,557","198,744","2,150,381,444",837,1.03,1.01
"Putnam County, Florida","1,373","12,658","12,786","12,960","118,776,277",714,0.91,0.86
"St. Johns County, Florida","7,775","67,318","67,861","68,427","803,074,170",910,1.02,1.01
"St. Lucie County, Florida","6,714","65,522","65,945","66,479","645,154,830",752,0.97,0.93
"Santa Rosa County, Florida","3,625","32,276","32,649","33,021","308,276,690",726,0.98,0.92
"Sarasota County, Florida","16,459","158,310","159,658","159,967","1,879,079,513",907,1.08,1.06
"Seminole County, Florida","15,481","181,468","182,772","182,987","2,323,271,924",980,1.08,1.07
"Sumter County, Florida","1,943","26,706","27,073","27,194","257,582,301",734,0.99,0.93
"Suwannee County, Florida",774,"8,890","8,918","8,924","74,246,424",641,0.92,0.85
"Taylor County, Florida",409,"4,767","4,795","4,948","48,850,697",777,0.92,0.91
"Union County, Florida",182,"1,451","1,456","1,461","12,297,091",650,0.51,0.45
"Volusia County, Florida","14,687","153,301","156,479","156,514","1,559,592,353",772,1.04,1.01
"Wakulla County, Florida",510,"3,869","3,965","4,010","35,865,394",699,0.8,0.76
"Walton County, Florida","2,846","22,412","22,814","23,710","224,807,703",753,1.02,0.99
"Washington County, Florida",435,"4,677","4,929","4,944","44,213,103",701,0.85,0.79
"Unknown Or Undefined, Florida","50,284","273,455","279,471","280,313","6,516,462,179","1,805",1.15,1.15
"Appling County, Georgia",477,"5,533","5,638","5,520","96,982,421","1,341",0.95,1.05
"Atkinson County, Georgia",192,"2,054","2,101","2,100","24,410,237",901,0.98,1.03
"Bacon County, Georgia",229,"3,077","3,116","3,157","27,773,939",685,0.99,0.98
"Baker County, Georgia",51,299,306,308,"3,108,671",786,0.86,0.91
"Baldwin County, Georgia",748,"10,796","10,903","10,961","87,610,851",619,0.83,0.75
"Banks County, Georgia",265,"3,578","3,614","3,747","29,962,162",632,0.95,0.93
"Barrow County, Georgia","1,173","16,735","16,894","16,955","169,188,574",772,1,0.98
"Bartow County, Georgia","2,150","34,669","34,938","35,386","401,671,709",883,1.04,1.03
"Ben Hill County, Georgia",318,"4,459","4,450","4,450","36,643,039",633,0.96,0.95
"Berrien County, Georgia",242,"2,738","2,728","2,742","26,128,656",735,0.87,0.9
"Bibb County, Georgia","4,149","72,965","73,192","73,277","836,605,202",880,1.04,1.04
"Bleckley County, Georgia",164,"1,414","1,418","1,485","10,380,061",555,0.63,0.61
"Brantley County, Georgia",185,"1,570","1,588","1,567","14,210,106",694,0.76,0.81
"Brooks County, Georgia",251,"2,669","2,661","2,655","26,045,525",753,0.94,0.97
"Bryan County, Georgia",665,"6,826","6,850","6,867","57,133,254",642,0.89,0.83
"Bulloch County, Georgia","1,458","19,017","19,395","19,239","156,232,210",625,0.86,0.79
"Burke County, Georgia",356,"11,536","11,511","11,604","319,176,684","2,126",1.04,1.11
"Butts County, Georgia",373,"5,476","5,392","5,419","49,783,368",705,0.91,0.9
"Calhoun County, Georgia",86,566,550,564,"4,200,880",577,0.64,0.63
"Camden County, Georgia",848,"9,467","9,510","9,497","92,365,096",749,0.78,0.69
"Candler County, Georgia",213,"2,412","2,433","2,455","16,468,312",521,0.91,0.86
"Carroll County, Georgia","2,061","34,905","35,002","35,247","389,104,216",854,0.99,0.98
"Catoosa County, Georgia",926,"12,582","12,675","12,708","109,154,714",663,0.97,0.95
"Charlton County, Georgia",150,"1,468","1,472","1,453","13,697,932",720,0.9,0.9
"Chatham County, Georgia","8,044","137,956","139,485","140,125","1,665,618,921",921,1.04,1.01
"Chattahoochee County, Georgia",97,"1,931","1,925","1,918","23,218,293",928,1,1.06
"Chattooga County, Georgia",285,"4,823","4,751","4,775","39,644,193",638,0.93,0.9
"Cherokee County, Georgia","5,709","53,391","53,549","53,690","552,572,663",794,1.01,0.99
"Clarke County, Georgia","3,061","50,617","51,190","50,854","561,068,683",848,0.85,0.79
"Clay County, Georgia",49,487,487,494,"3,100,292",487,0.85,0.71
"Clayton County, Georgia","3,890","107,060","107,036","107,361","2,020,092,133","1,450",1.04,1.07
"Clinch County, Georgia",148,"1,654","1,655","1,691","15,808,926",730,0.91,0.93
"Cobb County, Georgia","21,587","327,784","328,553","330,383","5,477,559,939","1,281",1.06,1.08
"Coffee County, Georgia",852,"14,779","14,867","14,928","130,571,473",676,1,0.99
"Colquitt County, Georgia",913,"11,265","11,112","11,148","93,852,336",646,0.88,0.84
"Columbia County, Georgia","2,469","29,502","29,911","30,137","279,012,375",719,0.98,0.94
"Cook County, Georgia",318,"3,154","3,163","3,159","24,275,653",591,0.84,0.81
"Coweta County, Georgia","2,567","34,405","34,400","34,698","356,284,046",794,1.02,0.99
"Crawford County, Georgia",111,785,848,829,"6,723,479",630,0.77,0.78
"Crisp County, Georgia",511,"6,725","6,769","6,763","62,791,149",715,0.97,0.97
"Dade County, Georgia",228,"3,126","3,291","3,386","29,655,054",698,1,1.01
"Dawson County, Georgia",687,"8,256","8,090","8,162","63,337,241",596,1.02,0.98
"Decatur County, Georgia",597,"6,091","6,150","6,152","55,396,014",695,0.87,0.88
"DeKalb County, Georgia","17,371","259,171","258,444","257,610","4,040,189,333","1,203",1.01,1.01
"Dodge County, Georgia",291,"3,322","3,318","3,368","26,920,633",621,0.78,0.75
"Dooly County, Georgia",158,"2,980","2,900","2,912","25,781,920",677,0.93,0.92
"Dougherty County, Georgia","2,200","38,973","39,146","39,248","399,125,248",785,0.96,0.93
"Douglas County, Georgia","2,582","38,223","38,360","38,470","376,257,047",755,1.02,0.99
"Early County, Georgia",226,"2,814","2,828","2,833","37,334,776","1,017",0.81,0.9
"Echols County, Georgia",43,489,475,470,"5,011,029",806,0.82,0.9
"Effingham County, Georgia",755,"7,608","7,619","7,638","86,634,884",874,0.84,0.85
"Elbert County, Georgia",438,"4,482","4,462","4,440","37,779,026",651,0.91,0.87
"Emanuel County, Georgia",369,"4,681","4,636","4,673","39,893,747",658,0.83,0.81
"Evans County, Georgia",216,"3,748","3,715","3,740","28,779,160",593,1,0.98
"Fannin County, Georgia",598,"5,726","5,818","5,853","49,046,504",651,1.01,0.99
"Fayette County, Georgia","3,548","41,132","41,043","41,265","472,591,054",884,1.04,1.02
"Floyd County, Georgia","1,911","34,238","34,303","34,589","376,468,904",842,1.02,1.01
"Forsyth County, Georgia","5,865","68,246","68,028","68,353","856,078,526",965,1.05,1.05
"Franklin County, Georgia",438,"7,043","6,967","6,957","65,782,911",724,1.01,1.01
"Fulton County, Georgia","43,090","785,217","789,623","792,041","18,041,867,926","1,759",1.05,1.06
"Gilmer County, Georgia",552,"5,476","5,504","5,613","44,235,661",615,0.95,0.92
"Glascock County, Georgia",29,242,237,230,"1,548,306",504,0.65,0.65
"Glynn County, Georgia","2,589","30,952","30,982","31,156","325,987,048",808,0.96,0.9
"Gordon County, Georgia",997,"20,379","20,334","20,335","231,782,093",876,1.04,1.04
"Grady County, Georgia",436,"4,729","4,706","4,786","42,228,224",685,0.93,0.92
"Greene County, Georgia",452,"5,443","5,488","5,563","54,634,820",764,1.02,1.02
"Gwinnett County, Georgia","25,118","316,510","318,162","319,755","4,537,687,359","1,097",1.05,1.06
"Habersham County, Georgia",829,"11,647","11,751","11,890","111,574,977",730,0.95,0.94
"Hall County, Georgia","4,460","78,359","78,655","78,892","919,686,880",900,1.04,1.04
"Hancock County, Georgia",61,735,733,744,"7,860,223",820,0.6,0.67
"Haralson County, Georgia",441,"5,364","5,344","5,343","56,284,331",809,0.91,0.93
"Harris County, Georgia",415,"4,221","4,193","4,217","31,459,112",575,0.9,0.87
"Hart County, Georgia",395,"5,517","5,600","5,667","53,182,287",731,0.97,0.97
"Heard County, Georgia",126,"1,382","1,405","1,425","23,100,743","1,266",0.81,0.92
"Henry County, Georgia","3,844","53,405","53,518","53,803","503,361,391",723,1,0.94
"Houston County, Georgia","2,548","36,518","36,733","36,931","331,000,867",693,0.7,0.56
"Irwin County, Georgia",121,"1,265","1,361","1,324","10,970,241",641,0.78,0.76
"Jackson County, Georgia","1,376","25,189","25,184","24,979","244,643,564",749,1.04,1.04
"Jasper County, Georgia",172,"1,567","1,578","1,594","13,321,374",649,0.83,0.84
"Jeff Davis County, Georgia",208,"3,329","3,324","3,295","29,421,158",682,0.92,0.93
"Jefferson County, Georgia",330,"3,717","3,700","3,721","39,129,514",811,0.92,0.96
"Jenkins County, Georgia",106,912,916,946,"7,511,800",625,0.81,0.82
"Johnson County, Georgia",119,909,914,916,"6,987,589",589,0.69,0.71
"Jones County, Georgia",322,"2,924","2,967","2,997","25,909,754",673,0.85,0.83
"Lamar County, Georgia",228,"2,592","2,602","2,619","25,122,160",742,0.84,0.82
"Lanier County, Georgia",93,718,723,732,"5,382,957",572,0.61,0.58
"Laurens County, Georgia","1,001","14,676","14,555","14,631","133,613,197",703,0.91,0.83
"Lee County, Georgia",442,"5,093","5,034","5,104","46,278,413",701,0.91,0.91
"Liberty County, Georgia",791,"11,951","12,034","12,092","116,891,784",748,0.75,0.68
"Lincoln County, Georgia",133,813,819,805,"6,370,364",603,0.78,0.79
"Long County, Georgia",61,278,281,261,"1,977,475",557,0.31,0.22
"Lowndes County, Georgia","2,697","37,594","37,478","37,859","328,709,198",672,0.92,0.86
"Lumpkin County, Georgia",518,"4,987","5,040","5,028","39,674,557",608,0.79,0.66
"McDuffie County, Georgia",387,"5,591","5,590","5,620","50,555,249",694,0.97,0.96
"McIntosh County, Georgia",166,"1,166","1,157","1,178","9,415,059",621,0.78,0.73
"Macon County, Georgia",165,"1,956","1,920","1,888","24,641,720",987,0.81,0.91
"Madison County, Georgia",331,"2,114","2,118","2,115","18,481,484",672,0.75,0.75
"Marion County, Georgia",74,710,731,740,"5,975,979",632,0.79,0.82
"Meriwether County, Georgia",295,"3,419","3,208","3,157","32,732,236",772,0.84,0.88
"Miller County, Georgia",131,742,758,770,"6,350,477",646,0.54,0.48
"Mitchell County, Georgia",394,"5,380","5,381","5,379","42,733,820",611,0.93,0.91
"Monroe County, Georgia",488,"4,875","4,960","4,997","59,141,395",920,0.76,0.78
"Montgomery County, Georgia",106,"1,195","1,209","1,222","9,777,471",622,0.89,0.89
"Morgan County, Georgia",479,"5,914","5,937","5,943","56,761,119",736,0.99,1
"Murray County, Georgia",410,"7,292","7,285","7,261","63,020,524",666,0.99,0.96
"Muscogee County, Georgia","4,363","75,679","75,978","76,473","963,502,440",975,0.95,0.95
"Newton County, Georgia","1,502","20,441","20,635","20,925","219,140,340",816,0.97,0.95
"Oconee County, Georgia","1,095","11,685","11,830","11,862","122,269,676",798,1.04,1.03
"Oglethorpe County, Georgia",180,"1,090","1,114","1,120","9,986,924",693,0.78,0.82
"Paulding County, Georgia","2,070","19,464","19,675","19,721","173,958,335",682,0.93,0.87
"Peach County, Georgia",503,"7,871","8,184","8,369","71,755,763",678,0.97,0.92
"Pickens County, Georgia",707,"6,724","6,690","6,737","77,028,934",882,0.99,0.99
"Pierce County, Georgia",332,"3,371","3,367","3,380","28,650,515",653,0.96,0.94
"Pike County, Georgia",247,"2,205","2,188","2,213","19,749,446",690,0.87,0.88
"Polk County, Georgia",602,"9,390","9,506","9,506","88,845,685",722,1,0.97
"Pulaski County, Georgia",175,"2,082","2,077","2,079","20,426,023",756,0.91,0.93
"Putnam County, Georgia",416,"4,169","4,178","4,164","35,071,534",647,0.87,0.85
"Quitman County, Georgia",30,209,221,218,"1,963,109",699,0.7,0.75
"Rabun County, Georgia",460,"4,208","4,210","4,259","31,495,491",573,0.98,0.93
"Randolph County, Georgia",143,"1,367","1,379","1,365","11,850,170",665,0.81,0.85
"Richmond County, Georgia","4,289","79,579","79,524","80,873","874,795,164",841,0.91,0.83
"Rockdale County, Georgia","1,943","27,402","27,642","27,805","326,674,732",910,1.01,1.01
"Schley County, Georgia",50,648,662,668,"5,694,826",664,0.78,0.76
"Screven County, Georgia",213,"2,224","2,232","2,204","19,540,908",677,0.82,0.81
"Seminole County, Georgia",190,"1,714","1,841","1,848","15,723,678",672,0.94,0.95
"Spalding County, Georgia","1,099","17,258","17,165","17,395","172,786,753",769,0.92,0.91
